sex,smoker,day,time,size
Female,No,Sun,Dinner,2
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,4
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Female,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,3
Male,No,Sun,Dinner,3
Female,No,Sun,Dinner,3
Male,No,Sat,Dinner,3
Male,No,Sat,Dinner,2
Female,No,Sat,Dinner,2
Female,No,Sat,Dinner,2
Male,No,Sat,Dinner,4
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,4
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,2
Female,No,Sat,Dinner,2
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,4
Female,No,Sat,Dinner,2
Female,No,Sat,Dinner,4
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Female,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,2
Female,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Male,Yes,Sat,Dinner,4
Female,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,4
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,4
Male,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Female,No,Sat,Dinner,2
Female,Yes,Sat,Dinner,1
Male,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,2
Female,No,Sat,Dinner,3
Female,Yes,Sat,Dinner,2
Female,Yes,Sat,Dinner,2
Female,No,Sat,Dinner,2
Male,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Thur,Lunch,4
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,1
Male,Yes,Thur,Lunch,2
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,4
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,Yes,Fri,Dinner,2
Male,No,Fri,Dinner,2
Female,Yes,Fri,Dinner,2
Female,Yes,Fri,Dinner,2
Female,No,Fri,Dinner,2
Male,Yes,Fri,Dinner,4
Male,Yes,Fri,Dinner,2
Male,Yes,Fri,Dinner,2
Male,Yes,Fri,Dinner,2
Male,No,Fri,Dinner,2
Female,Yes,Fri,Dinner,2
Female,Yes,Fri,Dinner,2
Female,Yes,Sat,Dinner,3
Female,Yes,Sat,Dinner,2
Female,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,2
Female,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,2
Female,No,Sat,Dinner,1
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,3
Female,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,4
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,6
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Male,No,Thur,Lunch,3
Male,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Male,No,Thur,Lunch,6
Male,No,Thur,Lunch,5
Female,No,Thur,Lunch,6
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,2
Female,No,Thur,Lunch,3
Female,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,4
Female,No,Sun,Dinner,5
Male,No,Sun,Dinner,6
Female,No,Sun,Dinner,4
Female,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,4
Male,No,Sun,Dinner,2
Female,No,Sun,Dinner,3
Male,No,Sun,Dinner,2
Female,Yes,Sun,Dinner,2
Male,No,Sun,Dinner,3
Male,No,Sun,Dinner,2
Male,No,Sun,Dinner,4
Female,Yes,Sat,Dinner,2
Female,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,3
Male,Yes,Sat,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Female,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,4
Male,Yes,Sun,Dinner,2
Male,Yes,Sun,Dinner,3
Male,Yes,Sun,Dinner,4
Male,Yes,Sun,Dinner,2
Male,No,Sun,Dinner,5
Female,Yes,Sun,Dinner,3
Male,Yes,Sun,Dinner,5
Female,Yes,Sun,Dinner,3
Male,Yes,Sun,Dinner,3
Male,Yes,Sun,Dinner,2
Female,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Male,No,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Female,Yes,Thur,Lunch,4
Female,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,3
Female,Yes,Thur,Lunch,2
Female,Yes,Thur,Lunch,2
Female,Yes,Thur,Lunch,2
Male,Yes,Thur,Lunch,4
Female,Yes,Thur,Lunch,3
Male,Yes,Sat,Dinner,3
Male,Yes,Sat,Dinner,4
Male,Yes,Sat,Dinner,2
Female,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,3
Male,Yes,Sat,Dinner,4
Male,No,Sat,Dinner,4
Female,Yes,Sat,Dinner,2
Female,Yes,Sat,Dinner,3
Female,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,5
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Female,Yes,Sat,Dinner,4
Male,Yes,Fri,Lunch,2
Female,Yes,Fri,Lunch,2
Male,Yes,Fri,Lunch,1
Female,No,Fri,Lunch,3
Male,Yes,Fri,Lunch,2
Female,Yes,Fri,Lunch,2
Female,Yes,Fri,Lunch,2
Male,No,Sat,Dinner,4
Male,No,Sat,Dinner,2
Female,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,4
Male,Yes,Sat,Dinner,3
Male,No,Sat,Dinner,2
Male,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Female,No,Sat,Dinner,3
Male,No,Sat,Dinner,3
Female,Yes,Sat,Dinner,2
Male,Yes,Sat,Dinner,2
Male,No,Sat,Dinner,2
Female,No,Thur,Dinner,2
