calculated_host_listings_count,host_response_time,host_response_rate(%),host_acceptance_rate(%),host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,dist_from_center(km),room_type,accommodates,bedrooms,beds,bathrooms,amenities_count,price($),minimum_nights_cleansed,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,last_review,days_since_last_review,estimated_occupancy
1,,,,f,t,Sea Gate,Brooklyn,40.57601,-74.01072,20.347879769182295,Entire home/apt,16,14.0,42.0,15.5,33,2029.0,30,30,179,13,0.14,4.77,4.54,4.85,2023-09-04,545.0,0.14
1,within an hour,100.0,100.0,f,t,East Village,Manhattan,40.7261,-73.97964,3.5813143597320765,Entire home/apt,8,4.0,5.0,3.5,61,1069.0,30,90,362,119,0.92,4.96,4.82,4.99,2024-07-13,232.0,0.92
1,,,,f,t,Tribeca,Manhattan,40.71922,-74.00276,4.550742745653081,Entire home/apt,4,2.0,2.0,2.0,36,1162.0,30,40,358,141,1.1,4.95,4.99,4.99,2023-12-06,452.0,1.0
1,within an hour,100.0,,f,f,Upper West Side,Manhattan,40.79227,-73.96557,4.163833803318966,Entire home/apt,5,2.0,2.0,3.5,31,1200.0,30,90,236,11,0.1,5.0,4.91,5.0,2023-08-13,567.0,0.1
1,,,,f,t,Lower East Side,Manhattan,40.71396,-73.98924,4.9071593734448165,Entire home/apt,2,1.0,2.0,2.0,56,1200.0,30,1125,89,32,0.28,5.0,5.0,5.0,2023-08-02,578.0,0.2893333333333334
1,within a day,100.0,35.0,f,t,Midtown,Manhattan,40.76556,-73.98182,0.8959515091081643,Entire home/apt,4,1.0,2.0,2.5,22,1316.0,1,7,364,9,0.09,5.0,5.0,4.89,2024-10-16,137.0,0.003
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76183,-73.97341,1.1037501874932418,Private room,6,2.0,3.0,2.0,32,2699.0,1,30,364,11,0.14,5.0,5.0,5.0,2024-11-03,119.0,0.004666666666666667
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76239,-73.97498,1.0116117896698087,Private room,4,1.0,2.0,1.0,31,1599.0,1,30,365,36,0.36,5.0,4.97,5.0,2024-12-08,84.0,0.012
1,within a day,100.0,,f,t,East Village,Manhattan,40.72198,-73.98404,4.0071351538913875,Entire home/apt,5,2.0,2.0,2.0,27,1211.0,30,90,269,23,0.32,4.48,4.48,4.57,2023-04-24,678.0,0.32
1,within an hour,100.0,98.0,t,t,Harlem,Manhattan,40.80752,-73.95279,6.156705138504202,Entire home/apt,8,5.0,4.0,3.5,69,1350.0,30,75,149,28,0.35,5.0,4.96,5.0,2023-08-27,553.0,0.35
1,within an hour,100.0,100.0,t,t,Midtown,Manhattan,40.76134310646883,-73.97905576220876,0.6578639398322872,Entire home/apt,6,2.0,2.0,2.0,59,1099.0,3,5,8,7,0.09,5.0,5.0,5.0,2025-01-03,58.0,0.009000000000000001
1,within a day,100.0,0.0,f,t,SoHo,Manhattan,40.7240392,-74.002914,4.051253594462763,Entire home/apt,6,3.0,3.0,2.0,52,1114.0,30,1125,281,196,2.51,4.98,4.94,4.97,2024-06-03,272.0,1.0
1,within an hour,100.0,100.0,f,t,SoHo,Manhattan,40.72054,-74.00198,4.390683710525118,Entire home/apt,5,2.0,2.0,1.0,79,1014.0,30,90,268,109,1.4,4.95,4.91,4.98,2024-11-05,117.0,1.0
1,within a few hours,100.0,80.0,f,t,Greenpoint,Brooklyn,40.72639,-73.94652,4.810277469868557,Entire home/apt,7,4.0,6.0,3.5,61,1491.0,30,1125,178,19,0.3,4.74,4.58,4.68,2023-10-22,497.0,0.3
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76217,-73.97349,1.1127503491813389,Private room,2,1.0,1.0,1.0,26,1199.0,1,30,365,6,0.09,5.0,5.0,5.0,2024-09-25,158.0,0.003
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76212,-73.97377,1.089006483034925,Private room,6,2.0,3.0,2.0,31,2699.0,1,30,353,20,0.31,5.0,5.0,5.0,2024-12-15,77.0,0.010333333333333333
1,within a day,100.0,,f,t,Clinton Hill,Brooklyn,40.68447,-73.96801,8.307969426092065,Entire home/apt,6,3.0,3.0,3.5,36,1076.0,30,60,125,10,0.14,5.0,5.0,5.0,2023-08-21,559.0,0.14
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.76259,-73.97507,1.0159661084058662,Private room,4,1.0,2.0,2.0,59,1418.0,1,1125,361,13,0.2,4.92,5.0,4.92,2024-01-01,426.0,0.006666666666666667
17,within an hour,100.0,98.0,f,t,Midtown,Manhattan,40.76436,-73.97562,1.0920473564157165,Entire home/apt,5,2.0,2.0,2.0,46,1500.0,7,28,336,1,0.07,5.0,4.0,5.0,2024-01-03,424.0,0.016333333333333335
1,within a day,67.0,57.0,f,f,Greenpoint,Brooklyn,40.72749,-73.95069,4.4843927223199485,Entire home/apt,6,5.0,4.0,4.5,46,1500.0,30,1125,88,8,0.17,4.63,4.75,4.88,2023-08-20,560.0,0.17
1,within an hour,100.0,100.0,t,t,Hell's Kitchen,Manhattan,40.76052,-73.99645,0.9639006501120464,Entire home/apt,6,2.0,4.0,2.0,42,1311.0,30,1125,201,179,2.94,4.98,4.94,5.0,2025-01-04,57.0,1.0
1,within an hour,100.0,100.0,,t,Upper East Side,Manhattan,40.77713,-73.95536,3.3117242471933923,Entire home/apt,13,8.0,11.0,7.0,91,2124.0,3,1125,249,88,1.78,4.88,4.78,4.97,2025-02-06,24.0,0.178
4,within an hour,100.0,88.0,t,t,Kensington,Brooklyn,40.64596,-73.97462,12.492011472929079,Private room,10,5.0,6.0,2.5,72,1706.0,30,1125,362,15,0.34,5.0,5.0,5.0,2023-08-14,566.0,0.34
2,,,,f,t,Chelsea,Manhattan,40.74637,-73.99233,1.4154009640705165,Entire home/apt,2,0.0,1.0,1.0,29,1048.0,30,365,365,45,0.94,4.96,4.93,4.96,2023-07-25,586.0,0.94
1,a few days or more,0.0,0.0,f,t,Flatiron District,Manhattan,40.7419,-73.98887,1.8126086940573194,Entire home/apt,6,3.0,3.0,3.0,16,1402.0,30,1125,268,8,0.2,4.25,4.13,3.5,2023-07-31,580.0,0.2
1,,,,f,f,Hell's Kitchen,Manhattan,40.75555,-73.99227,0.6319643705662402,Entire home/apt,2,1.0,1.0,1.0,21,1500.0,30,360,365,147,3.07,4.71,4.8,4.8,2023-09-26,523.0,1.0
1,within an hour,100.0,97.0,f,t,Upper East Side,Manhattan,40.77726,-73.955,3.344254331601404,Entire home/apt,6,3.0,4.0,6.0,25,1447.0,30,1125,339,9,0.23,5.0,4.89,5.0,2023-09-23,526.0,0.23
1,within an hour,100.0,68.0,f,t,Lower East Side,Manhattan,40.72095,-73.99047,4.141002349135837,Private room,13,6.0,8.0,2.0,72,1718.0,1,1125,326,92,2.12,4.87,4.55,5.0,2024-12-28,64.0,0.07066666666666667
22,within an hour,100.0,99.0,f,t,Hell's Kitchen,Manhattan,40.75426,-73.99756,1.0976423180971846,Entire home/apt,10,5.0,5.0,2.0,14,1057.0,2,30,179,34,0.93,4.35,4.15,4.56,2024-09-08,175.0,0.062000000000000006
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.761616,-73.974335,1.022727101476091,Private room,2,1.0,1.0,1.0,51,1143.0,1,1125,364,7,0.21,5.0,5.0,4.86,2024-12-26,66.0,0.007
1,,,,f,t,Upper West Side,Manhattan,40.78321,-73.98213,2.8175565977786396,Entire home/apt,4,4.0,3.0,2.5,9,1369.0,30,30,365,1,0.05,5.0,5.0,5.0,2023-08-20,560.0,0.05
1,within an hour,100.0,100.0,f,t,SoHo,Manhattan,40.72361,-74.00231,4.077826489319213,Entire home/apt,8,3.0,3.0,3.0,50,1100.0,30,360,75,34,1.06,4.94,5.0,4.97,2023-09-21,528.0,1.0
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.76277,-73.97539,1.0031902915232815,Private room,6,2.0,3.0,2.5,56,2657.0,1,1125,364,13,0.38,4.92,5.0,5.0,2025-01-01,60.0,0.012666666666666666
4,,,100.0,f,t,Bedford-Stuyvesant,Brooklyn,40.69631,-73.94627,7.614628969228795,Entire home/apt,16,1.0,0.0,2.0,23,1250.0,30,30,365,2,0.07,5.0,5.0,5.0,2023-04-30,672.0,0.07
1,within an hour,100.0,90.0,t,t,Upper West Side,Manhattan,40.7701937,-73.98291770000002,1.3732103969474176,Entire home/apt,6,3.0,4.0,2.5,50,1243.0,30,180,124,4,0.15,5.0,4.75,5.0,2024-11-22,100.0,0.15
3,within a few hours,90.0,45.0,f,t,Cobble Hill,Brooklyn,40.68693,-73.99085,7.915484939280377,Entire home/apt,4,2.0,3.0,1.0,10,1151.0,30,365,365,1,0.16,5.0,5.0,5.0,2024-08-30,184.0,0.16
1,within an hour,100.0,0.0,f,t,West Village,Manhattan,40.73109,-74.00606,3.4574075167035145,Entire home/apt,8,4.0,4.0,3.5,36,1800.0,30,1125,353,10,0.36,5.0,5.0,5.0,2023-08-15,565.0,0.36
1,within a day,100.0,,f,t,Upper East Side,Manhattan,40.78427,-73.94879,4.2531631039021205,Entire home/apt,6,3.0,3.0,2.5,66,1100.0,30,90,358,9,0.32,5.0,5.0,5.0,2023-10-16,503.0,0.32
70,within an hour,99.0,96.0,f,t,Midtown,Manhattan,40.74782,-73.98652,1.135221926946449,Hotel room,16,4.0,8.0,4.0,22,1043.0,1,1125,328,1,0.11,1.0,2.0,1.0,2024-05-26,280.0,0.0036666666666666666
1,,,100.0,f,t,Midtown,Manhattan,40.76088774241286,-73.97304677301634,1.0969300761829195,Private room,6,2.0,2.0,3.0,23,3375.0,3,7,13,1,0.5,5.0,5.0,5.0,2025-01-02,59.0,0.05
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.76152,-73.97414,1.0337604572416137,Private room,4,1.0,2.0,2.0,53,1414.0,1,1125,360,20,0.69,5.0,5.0,5.0,2025-02-24,6.0,0.023
2,,,25.0,f,t,SoHo,Manhattan,40.72076,-73.99995,4.316157893431097,Entire home/apt,16,1.0,1.0,1.0,11,1300.0,30,31,365,7,0.29,4.86,4.71,5.0,2023-10-08,511.0,0.29
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.8174733,-73.94419090000001,7.471859618243988,Entire home/apt,16,9.0,12.0,3.0,55,1718.0,1,1125,247,4,0.19,5.0,5.0,5.0,2023-10-05,514.0,0.006333333333333333
1,within an hour,100.0,78.0,t,f,Gramercy,Manhattan,40.73896,-73.98943,2.1428821221296785,Entire home/apt,16,0.0,0.0,1.5,21,1495.0,30,1125,180,2,0.08,5.0,5.0,5.0,2023-06-09,632.0,0.08
1,within an hour,86.0,100.0,f,t,West Village,Manhattan,40.73713,-74.00598,2.8916870147958247,Entire home/apt,6,3.0,3.0,2.5,11,1179.0,30,365,301,2,0.09,5.0,5.0,5.0,2023-05-01,671.0,0.09
1,within an hour,100.0,100.0,f,t,Bayside,Queens,40.77907,-73.77083,18.229400422355862,Entire home/apt,10,5.0,6.0,5.0,68,1164.0,30,1125,339,18,0.67,4.83,4.89,4.72,2023-09-17,532.0,0.67
1,,,,f,t,Upper East Side,Manhattan,40.77748221208396,-73.95629308055473,3.2776367195376235,Entire home/apt,6,2.0,3.0,3.0,87,1189.0,30,35,270,10,0.41,4.7,5.0,4.8,2023-11-27,461.0,0.41
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.8174733,-73.94419090000001,7.471859618243988,Entire home/apt,15,6.0,9.0,3.0,54,1713.0,1,1125,223,8,0.35,5.0,5.0,5.0,2024-12-14,78.0,0.011666666666666665
5,within an hour,100.0,89.0,f,t,Midtown,Manhattan,40.7563378,-73.98221699999999,0.33260474661890604,Entire home/apt,8,4.0,4.0,3.0,44,4229.0,2,28,319,13,1.07,5.0,4.92,5.0,2025-01-20,41.0,0.07133333333333333
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.8174733,-73.94419090000001,7.471859618243988,Entire home/apt,14,6.0,8.0,2.0,55,1164.0,1,1125,260,9,0.44,4.89,4.89,4.89,2025-02-16,14.0,0.014666666666666666
5,within an hour,100.0,89.0,f,t,Midtown,Manhattan,40.7563378,-73.98221699999999,0.33260474661890604,Entire home/apt,8,4.0,4.0,3.0,50,3685.0,2,28,347,16,1.03,5.0,5.0,4.94,2025-02-23,7.0,0.06866666666666667
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.8174733,-73.94419090000001,7.471859618243988,Entire home/apt,16,15.0,21.0,6.0,40,2272.0,1,1125,194,2,0.11,5.0,5.0,5.0,2024-03-11,356.0,0.0036666666666666666
2,within an hour,100.0,100.0,,t,East Harlem,Manhattan,40.79784888278592,-73.94756557533458,5.462271240645324,Entire home/apt,10,4.0,4.0,1.5,52,1446.0,30,30,364,4,0.17,4.5,4.75,5.0,2023-09-23,526.0,0.17
6,within an hour,100.0,82.0,t,t,East New York,Brooklyn,40.66566729562568,-73.88521859759418,13.298550571389372,Entire home/apt,16,9.0,12.0,4.0,59,1020.0,30,90,365,3,0.17,4.67,5.0,4.33,2023-11-12,476.0,0.17
2,within a few hours,100.0,,f,t,Downtown Brooklyn,Brooklyn,40.69149,-73.98386,7.3968759693025605,Entire home/apt,6,2.0,3.0,2.0,17,1753.0,30,365,178,2,0.09,5.0,5.0,5.0,2023-07-01,610.0,0.09
2,,,,f,t,Rosedale,Queens,40.6570944,-73.7269815,24.509863275373334,Entire home/apt,6,3.0,4.0,1.5,8,2500.0,30,35,90,2,0.1,4.5,4.0,5.0,2023-07-14,597.0,0.1
2,,,,f,t,Rosedale,Queens,40.65604,-73.7273,24.54009651468639,Entire home/apt,4,2.0,3.0,1.5,33,2250.0,30,35,90,3,0.15,4.67,4.67,5.0,2023-08-07,573.0,0.15
1,a few days or more,0.0,0.0,f,t,Upper West Side,Manhattan,40.79063734150534,-73.97187195718288,3.806228391645621,Private room,6,5.0,4.0,5.5,95,1663.0,1,1125,331,2,0.1,5.0,5.0,5.0,2023-09-25,524.0,0.0033333333333333335
5,within an hour,100.0,89.0,f,t,Midtown,Manhattan,40.7563378,-73.98221699999999,0.33260474661890604,Entire home/apt,10,5.0,5.0,4.0,49,4435.0,2,28,319,19,1.23,4.89,4.95,4.68,2025-02-03,27.0,0.082
3,within an hour,100.0,98.0,f,t,Bedford-Stuyvesant,Brooklyn,40.68766417632777,-73.93892388381877,8.75066154136689,Shared room,2,2.0,2.0,2.0,24,1051.0,2,365,163,45,2.96,4.73,4.58,4.91,2025-02-02,28.0,0.19733333333333333
1,within an hour,100.0,27.0,f,t,Upper East Side,Manhattan,40.77579902644895,-73.95195650245597,3.449226349641505,Entire home/apt,8,4.0,5.0,4.5,74,1600.0,3,365,36,16,0.99,4.75,4.81,4.94,2024-12-07,85.0,0.09899999999999999
1,,,100.0,f,t,Midtown,Manhattan,40.7613979,-73.9746128,0.991766923686664,Private room,4,1.0,2.0,2.0,8,1169.0,1,7,179,1,0.1,4.0,3.0,5.0,2024-05-12,294.0,0.0033333333333333335
11,within an hour,94.0,100.0,f,t,Midtown,Manhattan,40.766227594357495,-73.98210312222845,0.9585574154194898,Private room,4,2.0,2.0,2.5,45,1082.0,1,28,221,3,0.29,5.0,4.67,5.0,2025-02-22,8.0,0.009666666666666665
2,a few days or more,0.0,100.0,f,t,Chelsea,Manhattan,40.74993,-74.00719,2.0354764906847618,Entire home/apt,9,5.0,5.0,7.5,24,3780.0,30,365,270,1,0.07,5.0,5.0,5.0,2024-01-27,400.0,0.07
1,within an hour,91.0,98.0,t,t,Murray Hill,Manhattan,40.74947195098071,-73.97930154315527,1.0825117114747527,Entire home/apt,7,3.0,3.0,2.5,29,1025.0,2,365,163,20,1.75,4.9,4.75,4.75,2025-02-02,28.0,0.11666666666666667
1,within an hour,100.0,100.0,t,t,Murray Hill,Manhattan,40.75050411521348,-73.97917926241965,0.9890353182492487,Entire home/apt,10,5.0,5.0,4.0,38,1155.0,3,365,288,15,3.17,4.93,4.8,5.0,2025-02-17,13.0,0.317
242,within an hour,99.0,88.0,f,t,Upper West Side,Manhattan,40.78347,-73.97849,2.893006754871514,Hotel room,12,3.0,6.0,3.0,20,1356.0,1,1125,364,2,0.25,3.5,3.0,4.5,2024-08-07,207.0,0.008333333333333333
242,within an hour,99.0,88.0,f,t,Upper West Side,Manhattan,40.78347,-73.97849,2.893006754871514,Hotel room,16,4.0,8.0,4.0,20,1695.0,1,1125,364,1,0.47,5.0,5.0,5.0,2024-12-29,63.0,0.015666666666666666
242,within an hour,99.0,88.0,f,t,Upper West Side,Manhattan,40.78347,-73.97849,2.893006754871514,Hotel room,16,4.0,8.0,4.0,20,1487.0,1,1125,349,1,1.0,5.0,5.0,5.0,2025-02-23,7.0,0.03333333333333333
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.82772240000001,-73.9479565,8.372256124600906,Entire home/apt,15,5.0,10.0,3.5,64,1022.0,1,365,263,25,2.53,4.84,4.96,4.92,2025-02-09,21.0,0.08433333333333333
2,within an hour,100.0,95.0,t,t,Theater District,Manhattan,40.76104,-73.98426,0.35379931727720887,Entire home/apt,4,2.0,2.0,2.0,34,1050.0,3,365,128,38,3.48,4.97,5.0,5.0,2025-02-28,2.0,0.348
15,within an hour,100.0,99.0,t,t,Harlem,Manhattan,40.82652,-73.94879,8.221983144225566,Entire home/apt,16,6.0,12.0,4.5,67,1019.0,1,365,257,5,0.47,4.8,5.0,5.0,2025-02-13,17.0,0.015666666666666666
10,within an hour,98.0,100.0,t,t,SoHo,Manhattan,40.72103,-74.00056,4.302237504369979,Private room,2,1.0,1.0,1.0,23,1657.0,1,365,238,1,0.14,5.0,5.0,5.0,2024-08-02,212.0,0.004666666666666667
1,within an hour,100.0,100.0,f,t,Hell's Kitchen,Manhattan,40.7640886,-73.989899,0.7717700070834225,Entire home/apt,8,3.0,4.0,3.0,34,1125.0,2,31,171,8,2.58,5.0,5.0,5.0,2025-01-22,39.0,0.17200000000000001
2,within an hour,100.0,100.0,t,t,West Village,Manhattan,40.73231,-74.00272,3.203846411648158,Entire home/apt,7,4.0,4.0,3.0,70,1745.0,30,365,142,1,0.25,5.0,5.0,5.0,2024-11-01,121.0,0.25
